author,Aristotle,Beauvoir,Berkeley,Davis,Deleuze,Derrida,Descartes,Epictetus,Fichte,Foucault,Hegel,Heidegger,Hume,Husserl,Kant,Keynes,Kripke,Leibniz,Lenin,Lewis,Locke,Malebranche,Marcus Aurelius,Marx,Merleau-Ponty,Moore,Nietzsche,Plato,Popper,Quine,Ricardo,Russell,Smith,Spinoza,Wittgenstein,Wollstonecraft
Aristotle,1.0,0.1944635808467865,0.4592357277870178,0.2882154583930969,0.3695070147514343,0.19500970840454102,0.4114908277988434,0.36276525259017944,0.44605475664138794,0.4108890891075134,0.41226911544799805,0.4152580499649048,0.46141374111175537,0.3014413118362427,0.34600356221199036,0.1484588384628296,0.4947468042373657,0.37985074520111084,0.23175185918807983,0.5565327405929565,0.23394903540611267,0.48921602964401245,0.49957019090652466,0.258395791053772,0.28394442796707153,0.3358231782913208,0.29840072989463806,0.337513267993927,0.22641752660274506,0.45327121019363403,0.3420978784561157,0.5261173248291016,0.46781763434410095,0.27861708402633667,0.41313987970352173,0.31180328130722046
Beauvoir,0.1944635808467865,0.9999998807907104,0.3176271915435791,0.6098247766494751,0.2890496253967285,0.3634914755821228,0.3143414855003357,0.2840442657470703,0.14263805747032166,0.1632513403892517,0.28072628378868103,0.238669753074646,0.38711974024772644,0.20538540184497833,0.2675935626029968,0.39663147926330566,0.3182353377342224,0.22723056375980377,0.08073453605175018,0.3498696982860565,0.3236426115036011,0.4138532876968384,0.319982647895813,0.049368977546691895,0.26567575335502625,0.21336236596107483,0.35043346881866455,0.3178812861442566,0.3902732729911804,0.23544453084468842,0.034910641610622406,0.23312067985534668,0.12185567617416382,0.22552627325057983,0.2389984130859375,0.5634506940841675
Berkeley,0.4592357277870178,0.3176271915435791,1.0,0.21819716691970825,0.41787177324295044,0.2407406121492386,0.45683416724205017,0.43595296144485474,0.4626285135746002,0.18308478593826294,0.4133121371269226,0.3380196988582611,0.3549175560474396,0.4026440382003784,0.5298770666122437,0.2701113224029541,0.5656217336654663,0.3343803286552429,0.11193174868822098,0.5584924221038818,0.21635377407073975,0.4527321457862854,0.45579206943511963,0.20003610849380493,0.3501599133014679,0.4677838683128357,0.35785648226737976,0.34703701734542847,0.28578734397888184,0.4329931437969208,0.19783468544483185,0.4036731719970703,0.18450555205345154,0.30356135964393616,0.36031049489974976,0.3317093253135681
Davis,0.2882154583930969,0.6098247766494751,0.21819716691970825,1.0,0.28242820501327515,0.22542470693588257,0.32547107338905334,0.34032517671585083,0.10230626165866852,0.25822722911834717,0.20711418986320496,0.173664391040802,0.35562247037887573,0.2389301359653473,0.18293613195419312,0.3097619414329529,0.33930790424346924,0.18612170219421387,0.17225250601768494,0.3258807361125946,0.33474603295326233,0.35134029388427734,0.35290467739105225,0.11940006911754608,0.1288336217403412,0.15127335488796234,0.3111436665058136,0.3022291362285614,0.4012376368045807,0.15568652749061584,0.052244238555431366,0.27574896812438965,0.13596788048744202,0.08403852581977844,0.1982582062482834,0.518679141998291
Deleuze,0.3695070147514343,0.2890496253967285,0.41787177324295044,0.28242820501327515,1.0,0.38850897550582886,0.3408588469028473,0.3253215551376343,0.3612802028656006,0.30732613801956177,0.3966310918331146,0.24504323303699493,0.3348747193813324,0.34665462374687195,0.4444099962711334,0.288623183965683,0.5531839728355408,0.4155409634113312,0.3350678086280823,0.4549071192741394,0.3734727203845978,0.35556647181510925,0.3612014651298523,0.3258817195892334,0.34527772665023804,0.40358030796051025,0.5433852672576904,0.2715302109718323,0.3776393234729767,0.3760107159614563,0.2647060751914978,0.41045090556144714,0.19930310547351837,0.38004907965660095,0.416969895362854,0.29166778922080994
Derrida,0.19500970840454102,0.3634914755821228,0.2407406121492386,0.22542470693588257,0.38850897550582886,0.9999997615814209,0.27818548679351807,0.2302926629781723,0.3282080888748169,0.28058576583862305,0.5064048171043396,0.5013989806175232,0.5031810998916626,0.32346537709236145,0.43889451026916504,0.33143287897109985,0.36427950859069824,0.4692639112472534,0.3181403577327728,0.2333446741104126,0.32369956374168396,0.3963417410850525,0.4609485864639282,0.28671184182167053,0.5331228971481323,0.39053836464881897,0.45393919944763184,0.48117876052856445,0.4403597116470337,0.4176190495491028,0.2021017074584961,0.3090781569480896,0.2683761715888977,0.4021221101284027,0.33819711208343506,0.3407190442085266
Descartes,0.4114908277988434,0.3143414855003357,0.45683416724205017,0.32547107338905334,0.3408588469028473,0.27818548679351807,1.0,0.35309433937072754,0.4085898995399475,0.42926108837127686,0.4679374396800995,0.48506927490234375,0.46027255058288574,0.5062990784645081,0.5181821584701538,0.2966575622558594,0.41637343168258667,0.27844715118408203,0.26235926151275635,0.4711867868900299,0.2736504077911377,0.4439833164215088,0.3479691743850708,0.25487327575683594,0.32307618856430054,0.373409628868103,0.35671788454055786,0.3283553421497345,0.3864452838897705,0.6035887002944946,0.1828608512878418,0.5144981145858765,0.23055487871170044,0.2974061667919159,0.416604608297348,0.389657199382782
Epictetus,0.36276525259017944,0.2840442657470703,0.43595296144485474,0.34032517671585083,0.3253215551376343,0.2302926629781723,0.35309433937072754,1.0,0.28385600447654724,0.32122886180877686,0.3153237998485565,0.17031484842300415,0.35806652903556824,0.20562753081321716,0.4435805380344391,0.3886649012565613,0.5285699963569641,0.3490848243236542,0.18946439027786255,0.44076424837112427,0.44248247146606445,0.6143558025360107,0.6366921067237854,0.2939789593219757,0.1667582243680954,0.29855623841285706,0.4636605978012085,0.5084395408630371,0.20308610796928406,0.27232080698013306,0.23272353410720825,0.2810937166213989,0.21528615057468414,0.2927287220954895,0.24160811305046082,0.43833065032958984
Fichte,0.44605475664138794,0.14263805747032166,0.4626285135746002,0.10230626165866852,0.3612802028656006,0.3282080888748169,0.4085898995399475,0.28385600447654724,1.0,0.3715789318084717,0.46180492639541626,0.3115020990371704,0.3803507089614868,0.43301594257354736,0.43783992528915405,0.14402005076408386,0.30754438042640686,0.285513699054718,0.16267871856689453,0.4977278709411621,0.25236982107162476,0.4558578133583069,0.3054163157939911,0.24862569570541382,0.4772392511367798,0.4479363262653351,0.21593089401721954,0.2181330919265747,0.2353968322277069,0.5039300918579102,0.24349702894687653,0.4861534833908081,0.34163427352905273,0.40348222851753235,0.43276098370552063,0.20389971137046814
Foucault,0.4108890891075134,0.1632513403892517,0.18308478593826294,0.25822722911834717,0.30732613801956177,0.28058576583862305,0.42926108837127686,0.32122886180877686,0.3715789318084717,1.0000001192092896,0.3983430862426758,0.3760946989059448,0.38485634326934814,0.35203537344932556,0.49752384424209595,0.26467329263687134,0.448169469833374,0.2937639355659485,0.2975388169288635,0.4134267568588257,0.22027260065078735,0.44188183546066284,0.297330379486084,0.2391992211341858,0.2864001989364624,0.3506447672843933,0.2616247534751892,0.3559628427028656,0.24455046653747559,0.4910556674003601,0.16227035224437714,0.4595945477485657,0.24329319596290588,0.3070979118347168,0.234881192445755,0.36104851961135864
Hegel,0.41226911544799805,0.28072628378868103,0.4133121371269226,0.20711418986320496,0.3966310918331146,0.5064048171043396,0.4679374396800995,0.3153237998485565,0.46180492639541626,0.3983430862426758,1.0,0.5164543986320496,0.623618483543396,0.42551130056381226,0.5844857692718506,0.321970134973526,0.5091760158538818,0.36115407943725586,0.38918882608413696,0.41550034284591675,0.32472139596939087,0.5664474368095398,0.4182969331741333,0.40921714901924133,0.45213955640792847,0.46609407663345337,0.4219932556152344,0.3649750351905823,0.43443065881729126,0.6183202266693115,0.3557771146297455,0.49656081199645996,0.3456151783466339,0.5882362127304077,0.3983894884586334,0.3920132517814636
Heidegger,0.4152580499649048,0.238669753074646,0.3380196988582611,0.173664391040802,0.24504323303699493,0.5013989806175232,0.48506927490234375,0.17031484842300415,0.3115020990371704,0.3760946989059448,0.5164543986320496,0.9999999403953552,0.411895751953125,0.47438710927963257,0.498940110206604,0.2396918535232544,0.4088793098926544,0.35241854190826416,0.3711090087890625,0.3428972363471985,0.2443588376045227,0.418396532535553,0.35090190172195435,0.33249449729919434,0.5348376035690308,0.38995063304901123,0.2962682545185089,0.39845967292785645,0.3605617880821228,0.572559118270874,0.16801807284355164,0.46721577644348145,0.31045812368392944,0.37514543533325195,0.3404940962791443,0.31476446986198425
Hume,0.46141374111175537,0.38711974024772644,0.3549175560474396,0.35562247037887573,0.3348747193813324,0.5031810998916626,0.46027255058288574,0.35806652903556824,0.3803507089614868,0.38485634326934814,0.623618483543396,0.411895751953125,0.9999998807907104,0.31869611144065857,0.4513982832431793,0.43039995431900024,0.4577575623989105,0.5061312913894653,0.43118739128112793,0.4243752360343933,0.3642648458480835,0.5986288785934448,0.47856059670448303,0.33831197023391724,0.36333590745925903,0.41555076837539673,0.4758221209049225,0.4276089668273926,0.4493250846862793,0.5074700117111206,0.2749238610267639,0.4951893091201782,0.4161835312843323,0.3298773169517517,0.48220616579055786,0.5893616080284119
Husserl,0.3014413118362427,0.20538540184497833,0.4026440382003784,0.2389301359653473,0.34665462374687195,0.32346537709236145,0.5062990784645081,0.20562753081321716,0.43301594257354736,0.35203537344932556,0.42551130056381226,0.47438710927963257,0.31869611144065857,0.9999999403953552,0.4762799143791199,0.2574823796749115,0.3813391327857971,0.26503974199295044,0.24378494918346405,0.36225414276123047,0.1825333833694458,0.33236628770828247,0.23114104568958282,0.3034849166870117,0.5482397079467773,0.4790157377719879,0.206043541431427,0.29343879222869873,0.294644832611084,0.43686702847480774,0.09504280984401703,0.4592459797859192,0.15504537522792816,0.22106973826885223,0.23558872938156128,0.2976825535297394
Kant,0.34600356221199036,0.2675935626029968,0.5298770666122437,0.18293613195419312,0.4444099962711334,0.43889451026916504,0.5181821584701538,0.4435805380344391,0.43783992528915405,0.49752384424209595,0.5844857692718506,0.498940110206604,0.4513982832431793,0.4762799143791199,1.0,0.47650474309921265,0.6028265357017517,0.3759193420410156,0.36007338762283325,0.5290741920471191,0.2687187194824219,0.5425336360931396,0.3898984491825104,0.4096592366695404,0.45461392402648926,0.5360206961631775,0.42170122265815735,0.4275241792201996,0.35956284403800964,0.5638507604598999,0.3632046580314636,0.37338775396347046,0.30784744024276733,0.6119382977485657,0.2509744167327881,0.3193698227405548
Keynes,0.1484588384628296,0.39663147926330566,0.2701113224029541,0.3097619414329529,0.288623183965683,0.33143287897109985,0.2966575622558594,0.3886649012565613,0.14402005076408386,0.26467329263687134,0.321970134973526,0.2396918535232544,0.43039995431900024,0.2574823796749115,0.47650474309921265,1.0,0.4157114028930664,0.23640358448028564,0.48732656240463257,0.32374268770217896,0.39442580938339233,0.3739418685436249,0.3481675982475281,0.4007609486579895,0.1803300678730011,0.3154265880584717,0.41459012031555176,0.36638373136520386,0.450952410697937,0.2937368154525757,0.39636507630348206,0.23337474465370178,0.40617603063583374,0.2654757797718048,0.30554330348968506,0.4385550916194916
Kripke,0.4947468042373657,0.3182353377342224,0.5656217336654663,0.33930790424346924,0.5531839728355408,0.36427950859069824,0.41637343168258667,0.5285699963569641,0.30754438042640686,0.448169469833374,0.5091760158538818,0.4088793098926544,0.4577575623989105,0.3813391327857971,0.6028265357017517,0.4157114028930664,0.9999998807907104,0.40000778436660767,0.29899388551712036,0.5793205499649048,0.39781859517097473,0.5235145092010498,0.5284818410873413,0.3816682696342468,0.2835461497306824,0.5415840744972229,0.4531703591346741,0.4592217803001404,0.3715762495994568,0.46665942668914795,0.2908453345298767,0.40027788281440735,0.26109930872917175,0.5184944272041321,0.26249387860298157,0.4727513790130615
Leibniz,0.37985074520111084,0.22723056375980377,0.3343803286552429,0.18612170219421387,0.4155409634113312,0.4692639112472534,0.27844715118408203,0.3490848243236542,0.285513699054718,0.2937639355659485,0.36115407943725586,0.35241854190826416,0.5061312913894653,0.26503974199295044,0.3759193420410156,0.23640358448028564,0.40000778436660767,0.9999999403953552,0.27807924151420593,0.2736533284187317,0.33062416315078735,0.44617852568626404,0.4449957013130188,0.2599946856498718,0.41161859035491943,0.3899722099304199,0.5421642065048218,0.4632387161254883,0.3718346357345581,0.3843528628349304,0.28336864709854126,0.3492823839187622,0.26802611351013184,0.26967060565948486,0.4029298424720764,0.34520596265792847
Lenin,0.23175185918807983,0.08073453605175018,0.11193174868822098,0.17225250601768494,0.3350678086280823,0.3181403577327728,0.26235926151275635,0.18946439027786255,0.16267871856689453,0.2975388169288635,0.38918882608413696,0.3711090087890625,0.43118739128112793,0.24378494918346405,0.36007338762283325,0.48732656240463257,0.29899388551712036,0.27807924151420593,1.0,0.18203258514404297,0.28312721848487854,0.2870369255542755,0.27828729152679443,0.6372232437133789,0.20679348707199097,0.16167493164539337,0.36544835567474365,0.1795375645160675,0.32310760021209717,0.2972710132598877,0.46841710805892944,0.2676584720611572,0.4910406470298767,0.29005753993988037,0.36914771795272827,0.24416805803775787
Lewis,0.5565327405929565,0.3498696982860565,0.5584924221038818,0.3258807361125946,0.4549071192741394,0.2333446741104126,0.4711867868900299,0.44076424837112427,0.4977278709411621,0.4134267568588257,0.41550034284591675,0.3428972363471985,0.4243752360343933,0.36225414276123047,0.5290741920471191,0.32374268770217896,0.5793205499649048,0.2736533284187317,0.18203258514404297,0.9999999403953552,0.35730215907096863,0.46048516035079956,0.35421299934387207,0.23387083411216736,0.28181368112564087,0.5670027732849121,0.33130547404289246,0.29795217514038086,0.3025411367416382,0.6064074039459229,0.2591273784637451,0.4870990812778473,0.3007780909538269,0.4724372625350952,0.3814108967781067,0.390075147151947
Locke,0.23394903540611267,0.3236426115036011,0.21635377407073975,0.33474603295326233,0.3734727203845978,0.32369956374168396,0.2736504077911377,0.44248247146606445,0.25236982107162476,0.22027260065078735,0.32472139596939087,0.2443588376045227,0.3642648458480835,0.1825333833694458,0.2687187194824219,0.39442580938339233,0.39781859517097473,0.33062416315078735,0.28312721848487854,0.35730215907096863,1.0,0.33635497093200684,0.38162878155708313,0.3022436499595642,0.2131866216659546,0.28396856784820557,0.5187457799911499,0.33464789390563965,0.4991054832935333,0.3002031147480011,0.21057240664958954,0.2559877634048462,0.1958819031715393,0.2979750633239746,0.2906847596168518,0.3697739839553833
Malebranche,0.48921602964401245,0.4138532876968384,0.4527321457862854,0.35134029388427734,0.35556647181510925,0.3963417410850525,0.4439833164215088,0.6143558025360107,0.4558578133583069,0.44188183546066284,0.5664474368095398,0.418396532535553,0.5986288785934448,0.33236628770828247,0.5425336360931396,0.3739418685436249,0.5235145092010498,0.44617852568626404,0.2870369255542755,0.46048516035079956,0.33635497093200684,0.9999999403953552,0.568520188331604,0.2519930899143219,0.4567529559135437,0.3574608564376831,0.5043238401412964,0.5375655293464661,0.2474527508020401,0.43939346075057983,0.16020947694778442,0.4250509738922119,0.30757325887680054,0.45739907026290894,0.35843101143836975,0.5336225628852844
Marcus Aurelius,0.49957019090652466,0.319982647895813,0.45579206943511963,0.35290467739105225,0.3612014651298523,0.4609485864639282,0.3479691743850708,0.6366921067237854,0.3054163157939911,0.297330379486084,0.4182969331741333,0.35090190172195435,0.47856059670448303,0.23114104568958282,0.3898984491825104,0.3481675982475281,0.5284818410873413,0.4449957013130188,0.27828729152679443,0.35421299934387207,0.38162878155708313,0.568520188331604,0.9999998211860657,0.3725203573703766,0.35195666551589966,0.31821924448013306,0.5367570519447327,0.5875680446624756,0.3283878564834595,0.27516722679138184,0.32478269934654236,0.43186429142951965,0.3489730954170227,0.269919216632843,0.34149837493896484,0.4633336067199707
Marx,0.258395791053772,0.049368977546691895,0.20003610849380493,0.11940006911754608,0.3258817195892334,0.28671184182167053,0.25487327575683594,0.2939789593219757,0.24862569570541382,0.2391992211341858,0.40921714901924133,0.33249449729919434,0.33831197023391724,0.3034849166870117,0.4096592366695404,0.4007609486579895,0.3816682696342468,0.2599946856498718,0.6372232437133789,0.23387083411216736,0.3022436499595642,0.2519930899143219,0.3725203573703766,0.9999998807907104,0.28527432680130005,0.22584961354732513,0.3753466010093689,0.2184654325246811,0.2644002437591553,0.331993967294693,0.5721745491027832,0.30705660581588745,0.49925488233566284,0.46674758195877075,0.2962620258331299,0.16802002489566803
Merleau-Ponty,0.28394442796707153,0.26567575335502625,0.3501599133014679,0.1288336217403412,0.34527772665023804,0.5331228971481323,0.32307618856430054,0.1667582243680954,0.4772392511367798,0.2864001989364624,0.45213955640792847,0.5348376035690308,0.36333590745925903,0.5482397079467773,0.45461392402648926,0.1803300678730011,0.2835461497306824,0.41161859035491943,0.20679348707199097,0.28181368112564087,0.2131866216659546,0.4567529559135437,0.35195666551589966,0.28527432680130005,0.9999998807907104,0.44357025623321533,0.376262366771698,0.34400680661201477,0.32159578800201416,0.4063715934753418,0.11518584191799164,0.3758217394351959,0.23990994691848755,0.4107479155063629,0.3084794282913208,0.2845503091812134
Moore,0.3358231782913208,0.21336236596107483,0.4677838683128357,0.15127335488796234,0.40358030796051025,0.39053836464881897,0.373409628868103,0.29855623841285706,0.4479363262653351,0.3506447672843933,0.46609407663345337,0.38995063304901123,0.41555076837539673,0.4790157377719879,0.5360206961631775,0.3154265880584717,0.5415840744972229,0.3899722099304199,0.16167493164539337,0.5670027732849121,0.28396856784820557,0.3574608564376831,0.31821924448013306,0.22584961354732513,0.44357025623321533,1.0,0.3376382291316986,0.3988848328590393,0.42319512367248535,0.5252125859260559,0.22804465889930725,0.42570173740386963,0.2317848801612854,0.41653764247894287,0.3764738440513611,0.3651919662952423
Nietzsche,0.29840072989463806,0.35043346881866455,0.35785648226737976,0.3111436665058136,0.5433852672576904,0.45393919944763184,0.35671788454055786,0.4636605978012085,0.21593089401721954,0.2616247534751892,0.4219932556152344,0.2962682545185089,0.4758221209049225,0.206043541431427,0.42170122265815735,0.41459012031555176,0.4531703591346741,0.5421642065048218,0.36544835567474365,0.33130547404289246,0.5187457799911499,0.5043238401412964,0.5367570519447327,0.3753466010093689,0.376262366771698,0.3376382291316986,1.0,0.48423388600349426,0.46200546622276306,0.2792419493198395,0.3529069423675537,0.3355403542518616,0.24297326803207397,0.336093544960022,0.3101918697357178,0.4224483072757721
Plato,0.337513267993927,0.3178812861442566,0.34703701734542847,0.3022291362285614,0.2715302109718323,0.48117876052856445,0.3283553421497345,0.5084395408630371,0.2181330919265747,0.3559628427028656,0.3649750351905823,0.39845967292785645,0.4276089668273926,0.29343879222869873,0.4275241792201996,0.36638373136520386,0.4592217803001404,0.4632387161254883,0.1795375645160675,0.29795217514038086,0.33464789390563965,0.5375655293464661,0.5875680446624756,0.2184654325246811,0.34400680661201477,0.3988848328590393,0.48423388600349426,0.9999998807907104,0.3954695463180542,0.33297404646873474,0.21363458037376404,0.34310540556907654,0.15051284432411194,0.20882877707481384,0.20827411115169525,0.41675177216529846
Popper,0.22641752660274506,0.3902732729911804,0.28578734397888184,0.4012376368045807,0.3776393234729767,0.4403597116470337,0.3864452838897705,0.20308610796928406,0.2353968322277069,0.24455046653747559,0.43443065881729126,0.3605617880821228,0.4493250846862793,0.294644832611084,0.35956284403800964,0.450952410697937,0.3715762495994568,0.3718346357345581,0.32310760021209717,0.3025411367416382,0.4991054832935333,0.2474527508020401,0.3283878564834595,0.2644002437591553,0.32159578800201416,0.42319512367248535,0.46200546622276306,0.3954695463180542,1.0,0.362612247467041,0.34812432527542114,0.37146902084350586,0.26490911841392517,0.23036393523216248,0.3602864444255829,0.41928398609161377
Quine,0.45327121019363403,0.23544453084468842,0.4329931437969208,0.15568652749061584,0.3760107159614563,0.4176190495491028,0.6035887002944946,0.27232080698013306,0.5039300918579102,0.4910556674003601,0.6183202266693115,0.572559118270874,0.5074700117111206,0.43686702847480774,0.5638507604598999,0.2937368154525757,0.46665942668914795,0.3843528628349304,0.2972710132598877,0.6064074039459229,0.3002031147480011,0.43939346075057983,0.27516722679138184,0.331993967294693,0.4063715934753418,0.5252125859260559,0.2792419493198395,0.33297404646873474,0.362612247467041,0.9999998807907104,0.27733948826789856,0.529411256313324,0.3310484290122986,0.521663248538971,0.5031657218933105,0.31926286220550537
Ricardo,0.3420978784561157,0.034910641610622406,0.19783468544483185,0.052244238555431366,0.2647060751914978,0.2021017074584961,0.1828608512878418,0.23272353410720825,0.24349702894687653,0.16227035224437714,0.3557771146297455,0.16801807284355164,0.2749238610267639,0.09504280984401703,0.3632046580314636,0.39636507630348206,0.2908453345298767,0.28336864709854126,0.46841710805892944,0.2591273784637451,0.21057240664958954,0.16020947694778442,0.32478269934654236,0.5721745491027832,0.11518584191799164,0.22804465889930725,0.3529069423675537,0.21363458037376404,0.34812432527542114,0.27733948826789856,0.9999999403953552,0.2493002712726593,0.6302738189697266,0.346098393201828,0.28966349363327026,0.07675990462303162
Russell,0.5261173248291016,0.23312067985534668,0.4036731719970703,0.27574896812438965,0.41045090556144714,0.3090781569480896,0.5144981145858765,0.2810937166213989,0.4861534833908081,0.4595945477485657,0.49656081199645996,0.46721577644348145,0.4951893091201782,0.4592459797859192,0.37338775396347046,0.23337474465370178,0.40027788281440735,0.3492823839187622,0.2676584720611572,0.4870990812778473,0.2559877634048462,0.4250509738922119,0.43186429142951965,0.30705660581588745,0.3758217394351959,0.42570173740386963,0.3355403542518616,0.34310540556907654,0.37146902084350586,0.529411256313324,0.2493002712726593,1.0,0.2873867154121399,0.28344178199768066,0.45078566670417786,0.3686480224132538
Smith,0.46781763434410095,0.12185567617416382,0.18450555205345154,0.13596788048744202,0.19930310547351837,0.2683761715888977,0.23055487871170044,0.21528615057468414,0.34163427352905273,0.24329319596290588,0.3456151783466339,0.31045812368392944,0.4161835312843323,0.15504537522792816,0.30784744024276733,0.40617603063583374,0.26109930872917175,0.26802611351013184,0.4910406470298767,0.3007780909538269,0.1958819031715393,0.30757325887680054,0.3489730954170227,0.49925488233566284,0.23990994691848755,0.2317848801612854,0.24297326803207397,0.15051284432411194,0.26490911841392517,0.3310484290122986,0.6302738189697266,0.2873867154121399,1.0,0.30833131074905396,0.3905617594718933,0.19821888208389282
Spinoza,0.27861708402633667,0.22552627325057983,0.30356135964393616,0.08403852581977844,0.38004907965660095,0.4021221101284027,0.2974061667919159,0.2927287220954895,0.40348222851753235,0.3070979118347168,0.5882362127304077,0.37514543533325195,0.3298773169517517,0.22106973826885223,0.6119382977485657,0.2654757797718048,0.5184944272041321,0.26967060565948486,0.29005753993988037,0.4724372625350952,0.2979750633239746,0.45739907026290894,0.269919216632843,0.46674758195877075,0.4107479155063629,0.41653764247894287,0.336093544960022,0.20882877707481384,0.23036393523216248,0.521663248538971,0.346098393201828,0.28344178199768066,0.30833131074905396,1.000000238418579,0.2892264723777771,0.20967398583889008
Wittgenstein,0.41313987970352173,0.2389984130859375,0.36031049489974976,0.1982582062482834,0.416969895362854,0.33819711208343506,0.416604608297348,0.24160811305046082,0.43276098370552063,0.234881192445755,0.3983894884586334,0.3404940962791443,0.48220616579055786,0.23558872938156128,0.2509744167327881,0.30554330348968506,0.26249387860298157,0.4029298424720764,0.36914771795272827,0.3814108967781067,0.2906847596168518,0.35843101143836975,0.34149837493896484,0.2962620258331299,0.3084794282913208,0.3764738440513611,0.3101918697357178,0.20827411115169525,0.3602864444255829,0.5031657218933105,0.28966349363327026,0.45078566670417786,0.3905617594718933,0.2892264723777771,1.0,0.35656243562698364
Wollstonecraft,0.31180328130722046,0.5634506940841675,0.3317093253135681,0.518679141998291,0.29166778922080994,0.3407190442085266,0.389657199382782,0.43833065032958984,0.20389971137046814,0.36104851961135864,0.3920132517814636,0.31476446986198425,0.5893616080284119,0.2976825535297394,0.3193698227405548,0.4385550916194916,0.4727513790130615,0.34520596265792847,0.24416805803775787,0.390075147151947,0.3697739839553833,0.5336225628852844,0.4633336067199707,0.16802002489566803,0.2845503091812134,0.3651919662952423,0.4224483072757721,0.41675177216529846,0.41928398609161377,0.31926286220550537,0.07675990462303162,0.3686480224132538,0.19821888208389282,0.20967398583889008,0.35656243562698364,1.0
